,id,name,popularity,artists,id_artists,release_date,danceability,energy,speechiness,instrumentalness,valence
93863,1mauYRwbpoGQX6itP2FAJC,Fan de Tus Fotos,86,"['Nicky Jam', 'Romeo Santos']","['1SupJlEpv7RS2tPNRaHViT', '5lwmRuXgjX8xIwlnauTZIP']",2021-02-08,0.728,0.689,0.0725,1.26e-05,0.431
93865,2dl5K2ScW7jYhAhuem06cm,PROBLEMA,86,['Daddy Yankee'],['4VMYDCV2IEDYJArk749S6m'],2021-02-26,0.773,0.8,0.0987,0.00403,0.842
93867,5SFXOMJJ334Wn2PwBHeRZN,Girls Like Us,86,['Zoe Wees'],['03d2mJXSMtuPI0nIvLnhoS'],2021-01-12,0.444,0.648,0.0476,0.0,0.171
93861,2pPO9YecZimmuVQfIzfV6U,Wasted Love (feat. Lagique),86,"['Ofenbach', 'Lagique']","['4AKwRarlmsUlLjIwt38NLw', '1PbtWtrN7jZpd4toqxrjm2']",2021-01-08,0.734,0.855,0.135,4.73e-06,0.54
93860,6Tio0ZoDeSQnI7EBAqWer2,Cover Me In Sunshine,86,"['P!nk', 'Willow Sage Hart']","['1KCSPY1glIKqW2TotWuXOR', '0gAILSEru1PKMwP0tAqNLS']",2021-02-12,0.476,0.594,0.135,0.0,0.314
119457,2xgACMNtJ5YktyvOC83SPO,On The Ground,86,['ROSÉ'],['3eVa5w3URK5duf6eyVDbu9'],2021-03-12,0.311,0.607,0.11,0.0,0.286
93862,4FRW5Nza1Ym91BGV4nFWXI,Lemon Pepper Freestyle (feat. Rick Ross),86,"['Drake', 'Rick Ross']","['3TVXtAsR1Inumwj472S9r4', '1sBkRIssrMs1AbVkOJbc7a']",2021-03-05,0.77,0.637,0.345,0.0,0.431
93869,1Crj1zkRMpsEjb9NOR6Zof,"L-Gante: Bzrp Music Sessions, Vol.38",85,"['Bizarrap', 'L-Gante']","['716NhGYqD1jl2wI1Qkgq36', '4YYxffPVDFe9XoqqbRW6Bq']",2021-03-10,0.553,0.819,0.257,1.36e-05,0.761
93870,3CeCwYWvdfXbZLXFhBrbnf,Love Story (Taylor’s Version),85,['Taylor Swift'],['06HL4z0CvFAxyc27GXpf02'],2021-02-12,0.626,0.79,0.0311,3.97e-06,0.416
93871,6F2r4HgpJnvKDmkN6JEN6J,As I Am (feat. Khalid),85,"['Justin Bieber', 'Khalid']","['1uNFoZAHBGtllmzznpCI3s', '6LuN9FCkKOj5PcnpouEgny']",2021-03-19,0.595,0.543,0.038,0.0,0.109
93872,4jPy3l0RUwlUI9T5XHBW2m,Mood (feat. iann dior),85,"['24kGoldn', 'iann dior']","['6fWVd57NKTalqvmjRd2t8Z', '6ASri4ePR7RlsvIQgWPJpS']",2021-03-26,0.701,0.716,0.0361,0.0,0.732
93873,11ZulcYY4lowvcQm4oe3VJ,Slumber Party (feat. Princess Nokia),85,"['Ashnikko', 'Princess Nokia']","['3PyJHH2wyfQK3WZrk9rpmP', '6lay1nwbE6hTx1jivysUAL']",2021-01-15,0.964,0.398,0.0795,3.95e-05,0.563
93874,2Gjt4rUHBUH0rMKpBg0hF4,Disco Arranhado - Funk Remix,85,"['Malu', 'DJ Lucas Beat']","['3fll16LLw6kdDxWzSpJPEQ', '2zWqENF4cnsd1nLmraG9IE']",2021-01-22,0.747,0.725,0.363,0.0,0.904
93875,73O30uMI7n6DuzBmbtO7kC,Antes,85,"['Anuel AA', 'Ozuna']","['2R21vXR83lH98kGeO99Y66', '1i8SpTcr7yvPOmcqrbnVXY']",2021-01-22,0.817,0.737,0.102,1.57e-05,0.67
93876,1LXb70u8SLsvBAPWHMCTMe,Machu Picchu,85,"['Camilo', 'Evaluna Montaner']","['28gNT5KBp7IjEOQoevXf9N', '52qzWdNUp6ebjcNsvgZSiC']",2021-03-01,0.788,0.789,0.124,0.0,0.867
93877,2h9TDNEXRhcDIV3fsoEVq9,What Other People Say,85,"['Sam Fischer', 'Demi Lovato']","['6L1XC7NrmgWRlwAeLJvVtA', '6S2OmqARrzebs0tKUEyXyp']",2021-02-04,0.652,0.472,0.0399,0.0,0.24
93878,2WnAKZefdRHxtBEkRjFOHC,Anyone,85,['Justin Bieber'],['1uNFoZAHBGtllmzznpCI3s'],2021-03-19,0.685,0.521,0.0345,3.59e-06,0.578
93868,2pn8dNVSpYnAtlKFC8Q0DJ,On The Ground,85,['ROSÉ'],['3eVa5w3URK5duf6eyVDbu9'],2021-03-12,0.311,0.607,0.11,0.0,0.286
93855,748mdHapucXQri7IAO8yFK,Kiss Me More (feat. SZA),85,"['Doja Cat', 'SZA']","['5cj0lLjcoR7YOSnhnX0Po5', '7tYKF4w9nC0nq9CsPZTHyP']",2021-04-09,0.762,0.701,0.0286,0.000158,0.742
